alternative,Q,Region,PLS,System,method,profile,rank
Accra_PLS100_PV+battery+diesel,0.31261934354273696,Accra,100,PV+battery+diesel,vikor,economic,2415
Accra_PLS100_PV+battery,0.3126389347152921,Accra,100,PV+battery,vikor,economic,2416
Accra_PLS100_PV+battery,0.3126389347152921,Accra,100,PV+battery,vikor,economic,2417
Accra_PLS100_PV+battery,0.3126389347152921,Accra,100,PV+battery,vikor,economic,2418
Accra_PLS100_PV+battery,0.3126389347152921,Accra,100,PV+battery,vikor,economic,2419
Accra_PLS100_PV+battery,0.3126389347152921,Accra,100,PV+battery,vikor,economic,2420
Accra_PLS100_PV+battery,0.3126389347152921,Accra,100,PV+battery,vikor,economic,2421
Accra_PLS100_PV+battery,0.3126389347152921,Accra,100,PV+battery,vikor,economic,2422
Accra_PLS100_PV+battery,0.3126389347152921,Accra,100,PV+battery,vikor,economic,2423
Accra_PLS100_PV+battery,0.3126389347152921,Accra,100,PV+battery,vikor,economic,2424
Lodwar_PLS100_PV+battery+diesel,0.31264874202456183,Lodwar,100,PV+battery+diesel,vikor,economic,2425
Lusaka_PLS100_PV+battery+diesel,0.3127493355306169,Lusaka,100,PV+battery+diesel,vikor,economic,2426
Lodwar_PLS100_PV+battery+diesel,0.312763212498407,Lodwar,100,PV+battery+diesel,vikor,economic,2427
Lodwar_PLS100_PV+battery+diesel,0.3128289176462882,Lodwar,100,PV+battery+diesel,vikor,economic,2428
Accra_PLS100_PV+battery+diesel,0.3128476190540587,Accra,100,PV+battery+diesel,vikor,economic,2429
Accra_PLS100_PV+battery+diesel,0.3129320195355427,Accra,100,PV+battery+diesel,vikor,economic,2430
Lodwar_PLS100_PV+battery+diesel,0.31294271542281815,Lodwar,100,PV+battery+diesel,vikor,economic,2431
Accra_PLS100_PV+battery+diesel,0.3130585908960237,Accra,100,PV+battery+diesel,vikor,economic,2432
Accra_PLS100_Diesel only,0.31315007704953396,Accra,100,Diesel only,vikor,economic,2433
Accra_PLS100_Diesel only,0.31315007704953396,Accra,100,Diesel only,vikor,economic,2434
Accra_PLS100_Diesel only,0.31315007704953396,Accra,100,Diesel only,vikor,economic,2435
Accra_PLS100_Diesel only,0.31315007704953396,Accra,100,Diesel only,vikor,economic,2436
Lodwar_PLS100_Diesel only,0.31315007704953396,Lodwar,100,Diesel only,vikor,economic,2437
Lodwar_PLS100_Diesel only,0.31315007704953396,Lodwar,100,Diesel only,vikor,economic,2438
Lusaka_PLS100_Diesel only,0.31315007704953396,Lusaka,100,Diesel only,vikor,economic,2439
Lusaka_PLS100_Diesel only,0.31315007704953396,Lusaka,100,Diesel only,vikor,economic,2440
Lusaka_PLS100_Diesel only,0.31315007704953396,Lusaka,100,Diesel only,vikor,economic,2441
